01	2#5|3#3,4,5|4#2,3,4,5|5#1,2,5
02	2#6|3#6,7,8,9|4#6,7,8,9|5#6,7,8,9
03	1#14,15,16,17,18,19,20,21,22|2#10,11,12,13,14,15,16,17,18,19,20,21|3#10,11,12,13,14,15,17,18,19,20|4#10,11,12,13,14,15,16,17,18,19|5#10,16,17|
04	6#5,6,7|7#5,6,7
05	6#8,9,10|7#8,9,10|8#10,11,12,13
06	5#12,13|6#12,13,14|7#11,12,13,14|8#15
07	7#4|8#4,5,6,7|9#3,4,5,6,7|10#3,4,5,6
08	8#8,9|9#8,9,10,11|10#7,8,9,10|11#6,7,8,9|12#9
09	11#3,4,5|12#3,4,5,6|13#4,5,7|14#5,6,7|15#7,8|16#8
10	15#9,10,11|16#9,10,11,12|17#9,10
11	17#8|18#8,9|19#8,9|20#9,10,11|21#10,11,12
12	17#11,12,13|18#10,11,12,13,14|19#10,11,12,13,14,15|20#12,13,14,15|21#13,14,15|22#13,14|23#13
13	22#10,11,12|23#11,12|24#11,12,13|25#11,12,13|26#11,12|27#11,12|28#12
14	5#20
15	2#25|3#26|4#24,25,26|5#23,24,25,26|6#24,25
16	6#22|7#21,22
17	7#23,24,25
18	2#29,30|3#29|4#27,28,29,30,31|5#27,28,29,30,31|6#26,27,28,29,30,31|7#26,27,28,29|8#27,28,29|9#29,30
19	8#22,23|9#21,22,23|10#21
20	8#24,25,26|9#24,25,26|10#24,25,26
21	10#23|11#20,21,22,23|12#20,21,22,23|13#19,20,21,22,23,24|14#19,20,21,22,23,24,25,26|15#19,20,21,22,23,24,25,26|16#20,21,22,23,24
22	11#24,25,26,27|12#24,25,26,27,28|13#25,26,27,28
23	14#27,28|15#27,28,29,30,31|16#27,28,29,30|17#29,30|18#28,29|19#28,29|20#28
24	16#25,26|17#24,25,26,27,28|18#24,25,26,27|19#24,25,26,27|20#24,25,26,27|21#27
25	20#29|21#24,25,26,28|22#25,26,27,28|23#25,26,27|24#25,26
26	21#30|22#30
27	3#31|4#32|5#32,33|6#32,33|7#34
28	2#33,34,35|3#32,33,34,35,36,37|4#33,34,35,36,37,38|5#34,35,36,37|6#34|7#35
29	2#39,40|3#38,39,40,41|4#39,40,41
30	2#43|3#42,43,44,45|4#42,43,44|5#41,42,44,45|6#42|7#43|8#43
31	5#38,39,40|6#35,36,37,38,39,40,41|7#36,37,38,39
32	7#30,31,32,33|8#30,31,32,33,34|9#31,32,33,34|10#32,33
33	7#40,41,42|8#35,36,37,38,39,40,41,42|9#42,43|10#43
34	6#43,44|7#44|8#44,45|9#44,45|10#44
35	9#27,28|10#27,28,29,30,31|11#28,29,30,31,32|12#29,30,31,32|13#29,30,31,32|14#29,30,31,32
36	10#34,35|11#33,34,35|12#33,34,35,36,37|13#34,35,36,37|14#35,36|15#35,36|16#36
37	8#35|9#35,36,37,38,39,40,41|10#36,37,38,39,40,41,42|11#36,37,38,39,40,41,42|12#39,40,41,42,43|13#41
38	12#38|13#38,39,40|14#39,40,41|15#39,40,41|16#40
39	14#43,44|15#43,44|16#42,43,44|17#39,40,41,42,43,44,45|18#40,41,42,43,44,45,46|19#41,42,43,44
40	18#46,47,49|19#47,48,50
41	21#43,44|22#42,43,44|23#42,43,44,45|24#42,43,44,45|25#45
42	20#45,46,47|21#45,46,47|22#45,46,47,48|23#46,47,48|24#46,47|25#46,47
